,n,DFT Time (s)
0,1,0.0
1,2,0.0
2,3,0.0
3,4,0.0
4,5,0.0030336380004882812
5,6,0.002101898193359375
6,7,0.0010063648223876953
7,8,0.002035856246948242
8,9,0.007068634033203125
9,10,0.007080554962158203
10,11,0.006186008453369141
11,12,0.006060123443603516
12,13,0.005107879638671875
13,14,0.006940603256225586
14,15,0.00608515739440918
15,16,0.006058454513549805
16,17,0.022049903869628906
17,18,0.023014068603515625
18,19,0.026045799255371094
19,20,0.022980451583862305
20,21,0.022140026092529297
21,22,0.024318695068359375
22,23,0.021939992904663086
23,24,0.022935152053833008
24,25,0.023088932037353516
25,26,0.023737430572509766
26,27,0.02313065528869629
27,28,0.0238187313079834
28,29,0.024239301681518555
29,30,0.025188922882080078
30,31,0.023853778839111328
31,32,0.024044513702392578
32,33,0.1041562557220459
33,34,0.09993720054626465
34,35,0.10062384605407715
35,36,0.09881973266601562
36,37,0.09966802597045898
37,38,0.10452437400817871
38,39,0.0999763011932373
39,40,0.10311102867126465
40,41,0.10016012191772461
41,42,0.0988929271697998
42,43,0.10138916969299316
43,44,0.09784746170043945
44,45,0.09748172760009766
45,46,0.1089487075805664
46,47,0.09804105758666992
47,48,0.1028435230255127
48,49,0.09773874282836914
49,50,0.09843087196350098
50,51,0.09569263458251953
51,52,0.09586381912231445
52,53,0.09721612930297852
53,54,0.0976712703704834
54,55,0.0962514877319336
55,56,0.09129643440246582
56,57,0.09176826477050781
57,58,0.09674811363220215
58,59,0.09700536727905273
59,60,0.0959630012512207
60,61,0.09786796569824219
61,62,0.0960075855255127
62,63,0.09801387786865234
63,64,0.09708237648010254
64,65,0.400256872177124
65,66,0.4167966842651367
66,67,0.40308570861816406
67,68,0.40282130241394043
68,69,0.3856468200683594
69,70,0.39844250679016113
70,71,0.39487218856811523
71,72,0.4109954833984375
72,73,0.45770263671875
73,74,0.43059206008911133
74,75,0.4125051498413086
75,76,0.413036584854126
76,77,0.40961718559265137
77,78,0.40041565895080566
78,79,0.40315937995910645
79,80,0.39300084114074707
80,81,0.39760303497314453
81,82,0.3985302448272705
82,83,0.4125649929046631
83,84,0.41435933113098145
84,85,0.4128408432006836
85,86,0.40302371978759766
86,87,0.40795135498046875
87,88,0.4086878299713135
88,89,0.42266178131103516
89,90,0.4216907024383545
90,91,0.4208347797393799
91,92,0.41912031173706055
92,93,0.43473124504089355
93,94,0.41848182678222656
94,95,0.4184250831604004
95,96,0.40942955017089844
96,97,0.4039900302886963
97,98,0.4213545322418213
98,99,0.43689393997192383
99,100,0.4046804904937744
